rank,app_id,title
1,com.superpixel.undyinghero,"불사용사 키우기 : 방치형 RPG"
2,com.end9games.aow37ggl,"이것이 삼국지다-1,500뽑기 증정"
3,com.noriworks.gm,"고스톱M : 데이터 필요없는 맞고 게임"
4,com.nns.genesis,"창세기전 키우기: 100일 기념 파티"
5,com.mocacorp.tile,"타일 킹 - 트리플 매치"
6,com.blackdust.redblue,"냥찍 히어로즈 : 방치형 RPG"
7,com.mergegames.gossipharbor,"가십하버: 합성 & 스토리 게임"
8,com.mocacorp.sudoku,"스도쿠"
9,com.oakever.meowdoku,"Meowdoku: 두뇌 퍼즐 게임"
10,com.ecffri.arrows,"애로우즈 – 퍼즐 이스케이프 (Arrows)"
11,com.nianticlabs.pokemongo,"Pokémon GO"
12,com.mobirix.ldwm,"수박 만들기 2048"
13,jp.pokemon.pokemonchampions,"Pokémon Champions"
14,com.ekkorr.ef2,"오늘도 환생 2 : 방치형 디펜스 RPG"
15,com.grandgames.magicsort,"매직 정렬!  (Magic Sort !)"
16,pics.karaage.damekoico,"나쁜 사랑 - 다크한 남친 컬렉션"
17,com.oakever.arrows,"Amaze GO! - 화살표 퍼즐"
18,com.noriworks.kg,"국민 고스톱"
19,com.roblox.client,"로블록스 (Roblox)"
20,com.Chillgaming.oneState,"OneState RP: 온라인 롤플레잉"
21,com.block.juggle,"블록 블라스트 (Block Blast)"
22,com.Gameplete.CardFantasy,"트리플 판타지 : 카드 전략 수집형 RPG"
23,com.fatmerge.global,"테이스티 트레블: 합성 게임"
24,com.naddic.bbhero,"별별히어로 : RPG 맛집"
25,com.daerigame.rellion,"렐리온: NPC들의 생존기"
26,com.run.tower.defense,"킹샷:Kingshot"
27,jp.co.ponos.battlecatskr,"냥코 대전쟁"
28,com.nexon.fmk,"FC 모바일"
29,com.haegin.kbo,"2026 프로야구GO!"
30,jp.co.goodroid.hyper.busflow,"Bus Traffic Fever!"
31,com.kr.lfhsgp,"그레이 사가"
32,beats.color.sing.star.rush,"피아노타일9: 리듬게임 음악·노래·음악·케이팝"
33,color.number.paint.pixle.art.sort.jigsaw,"Jewel Coloring"
34,com.vitastudio.mahjong,"비타 마작(Vita Mahjong)"
35,com.puzzlegames.puzzlebrickslegend,"컬러블록: 콤보 블라스트(Color Block)"
36,com.nebula.mahjongtile,"마작 블래스트 (Mahjong Blast)"
37,com.soccer.score.star,"사커 슈퍼스타 (Soccer Superstar)"
38,com.bhk.newslgkr,"삼국지: 천하결전"
39,com.phs.global,"라스트 어사일럼: 페스트"
40,com.dreamgames.royalkingdom,"로얄 킹덤 (Royal Kingdom)"
41,com.supercell.brawlstars,"브롤스타즈"
42,com.funplus.ts.global,"타일 서바이벌"
43,com.dlw.kr.google,"시티 데몬헌터즈: 각성자들"
44,com.king.candycrushsaga,"캔디크러쉬사가 (Candy Crush Saga)"
45,com.warrior.screw.gp,"나사 풀기 대작전"
46,com.xman.kr.gp,"X 클래시"
47,com.gamedots.seasideescape,"씨사이드 익스케이프: 합성 & 스토리 게임"
48,com.hollywood.merge,"할리우드 머지"
49,net.gameduo.gv,"캣 히어로 : 방치형 RPG"
50,com.dreamgames.royalmatch,"로얄 매치 Royal Match"
51,com.nexon.ma,"메이플 키우기"
52,com.youmusic.magictiles,"매직 타일 3: 피아노 게임 케이팝 노래"
53,com.chirpysort.game.android,"Chirpy Sort: Bird Color Puzzle"
54,com.playrix.township,"꿈의 마을 (Township)"
55,com.leap.searchit,"Search It – 숨은그림찾기"
56,com.su.kg3.gb,"포춘 헌터: 골든 사가"
57,com.unept.leveldevil,"Level Devil - NOT A Troll Game"
58,com.highbrow.games.dvo,"드래곤빌리지3"
59,com.riftsky.mhg.kr.gp,"더 코지 플로리스트"
60,com.nflystudio.InfiniteStaircase,"무한의 계단"
61,com.wood.block.sudoku.puzzle.bm,"Block Crush: 블록블라스트 퍼즐게임"
62,com.sled.surfers.game,"Sled Surfers  - 슬로프 어드벤처"
63,com.gof.global,"WOS: 화이트아웃 서바이벌"
64,com.robtopx.geometryjumplite,"Geometry Dash Lite"
65,com.wemade.golfsc,"골프 슈퍼 크루 : 실시간 골프 게임"
66,app.gajami.keycap,"딸깍 - 키캡게임"
67,com.rummikubfree,"Rummikub"
68,com.abi.colony.flow,"Colony Flow"
